FragmentID, NarrID, SessionStartDate, SessionEndDate, ServerEntryDate,2.1 Focus was on-Cumplir con los requerimientos de la IE,2.1 Focus was on-El desarrollo socio emocional del alumno,2.1 Focus was on-Estimular el aprendizaje y transmitir prácticas,2.1 Focus was on-X,2.1 Focus was on-Y,2.1 Focus was on-NA,2.2 Cultivating the student's-habilidades de vida prácticas,2.2 Cultivating the student's-discipline,2.2 Cultivating the student's-culture,2.2 Cultivating the student's-X,2.2 Cultivating the student's-Y,2.2 Cultivating the student's-NA,2.3 Estudiantes aprendieron a través de...-aprendizaje reflexivo,2.3 Estudiantes aprendieron a través de...-concrete experience,2.3 Estudiantes aprendieron a través de...-active experimentation,2.3 Estudiantes aprendieron a través de...-X,2.3 Estudiantes aprendieron a través de...-Y,2.3 Estudiantes aprendieron a través de...-NA,2.4 Un factor determinante fue-Tiempo y curriculum,"2.4 Un factor determinante fue-Recursos educativos (ej.. tecnología, fondos, etc.)",2.4 Un factor determinante fue-Habilidades y capacitación,2.4 Un factor determinante fue-X,2.4 Un factor determinante fue-Y,2.4 Un factor determinante fue-NA,2.5 Influencia de-Secretarías y Ministerio,2.5 Influencia de-Docentes,2.5 Influencia de-Estudiantes,2.5 Influencia de-X,2.5 Influencia de-Y,2.5 Influencia de-NA,2.6 Rol del docente-curiosidad,2.6 Rol del docente-Alcanzar objetivos,2.6 Rol del docente-Dar soporte emocional a los estudiantes,2.6 Rol del docente-X,2.6 Rol del docente-Y,2.6 Rol del docente-NA,3.1 Students encouraged to learn-Individual/de forma independiente,3.1 Students encouraged to learn-Socialmente/ en grupo,3.1 Students encouraged to learn-X,3.1 Students encouraged to learn-NA,3.2 Aprendizaje fue-Liderado por el maestro,3.2 Aprendizaje fue-Liderado por el estudiante,3.2 Aprendizaje fue-X,3.2 Aprendizaje fue-NA,3.3 Decisiones influenciadas por-Practicas establecidas,3.3 Decisiones influenciadas por-Necesidades emergentes,3.3 Decisiones influenciadas por-X,3.3 Decisiones influenciadas por-NA,1.1 Results,4.1 Entry is related to_La comunidad y las relaciones,4.1 Entry is related to_La filosofía de la institución,4.1 Entry is related to_Aprendizaje y crecimiento,4.1 Entry is related to_Los problemas como oportunidades,4.1 Entry is related to_Premios y reconocimiento,4.1 Entry is related to_Autonomía y soporte,4.1 Entry is related to_Desarrollo general del estudiante,4.1 Entry is related to_Crecimiento personal y logros,4.1 Entry is related to_Otro,Themes,4.2 Frequency,4.1 I am a...,4.2 Gender,4.3 Experience in education,4.4 Experience in institution,4.5 Levels taught_Preescolar,4.5 Levels taught_Básica primaria l,4.5 Levels taught_Básica secundaria,4.5 Levels taught_Media,4.5 Levels taught_Terciaria/Universitaria,4.6 Age,4.7 Professional qualifications,Ciudad,IE,FragmentEntry,Title,ProjectID,ApplicationName,SessionID,Language
da646bd0-7559-4865-bf89-cb8af9847de6,7,,02:42.0,02:43.2,59.692.717,10.555.555,8.347.517,0.8875295,0.09141109,,8.390.775,8.791.206,73.010.364,0.11696639,0.076131865,,3.542.302,69.230.804,89.534.615,0.9299616,0.05995387,,4.352.904,1.919.192,37.279.045,0.46875,0.16620204,,2.818.415,12.051.285,59.764.557,0.657902,0.10436412,,23.165.479,9.564.102,20.424.268,0.4986294,0.82825124,,11.136.532,98.886.345,0.98886347,,8.399.183,16.008.175,0.16008174,,29.223.436,70.776.566,0.70776564,,Resultados positivos,,1,,1,,,,,,,Rara vez,Docente,Hombre,Menos de un año,De 1 a 2 años,1,1,,,,Entre 21 y 30 años,Normalista,Bogotá,Colegio Comfandi Buga,Harshadi Test,tets,JournalTeacher_Colombia2020,"SenseMaker New WebCollector; Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36",5a069a79-564d-4928-8efa-f17c08cd6571,es
1ed49266-1896-11eb-8278-0242ac110003,,40:39.3,50:54.5,51:00.6,2.072.848.481.434.450,20.085.476.606.320.100,5.918.603.857.933.530,0.692287769,0.173940227,,2.024.279.417.053.060,21.794.865.274.021.700,579.623.405.554.476,0.688597732,0.188743533,,12.841.431.695.367.400,41.025.634.504.791,4.613.293.379.984.150,0.666457511,0.355281995,,4.222.531.516.726.340,45.726.502.247.345.700,12.048.182.585.390.700,0.349114337,0.395991509,,8.860.446.317.428.910,3.717.948.717.948.710,539.600.665.030.839,0.725498101,0.321974359,,3.200.833.164.243.600,6.025.641.025.641.020,77.352.581.011.537.200,0.378634632,0.521820513,,18.052.324.398.543.400,8.194.767.560.145.650,0.819476756,,3.588.178.176.288.450,6.411.821.823.711.540,0.641182182,,3.510.658.796.443.490,6.489.341.203.556.500,0.64893412,,Resultados interesantes,,,1,,,,1,,,,Una vez cada tanto,Docente,Hombre,De 3 a 5 años,De 1 a 2 años,,1,,,,Entre 31 y 40 años,Especialista,Envigado,Institución Educativa Escuela Normal Superior de Envigado,"El mes pasado en compañía de un docente del ciclo complementario y sus estudiantes de semestre 2, realizamos una intervención al grupo de aceleración en ciencias naturales sobre el ciclo de vida, se utilizo gran cantidad de recursos interactivos, juegos de educaplay, kahoot, videos de YouTube entre otros, lo que hizo muy dinámica la actividad, al final entre todos, realizamos una maseta con una semilla a la cual le estamos haciendo seguimiento con una bitácora para observar el ciclo de vida de la planta que sembró cada uno. Una experiencia muy significativa.",#ciclodevidademiplanta,6edb6b43-3a64-405b-b795-5a8cd9f196d5,WebCollector 2.4,,es
60d62944-1897-11eb-8278-0242ac110003,,47:30.0,59:54.7,00:00.9,20.964.020.263.371.500,16.666.666.666.666.600,6.236.931.306.996.170,0.707026464,0.144333333,,15.598.489.099.221.500,7.094.016.441.932.090,1.346.134.648.145.750,0.489314287,0.614341824,,13.209.423.486.634.500,7.350.427.350.427.350,13.286.303.009.091.900,0.500384398,0.636547009,,15.112.791.934.557.600,7.264.956.612.872.260,12.237.641.936.719.700,0.48562425,0.629145243,,10.762.016.434.924.700,7.692.307.284.754.560,12.314.910.717.529.600,0.507764471,0.666153811,,13.054.095.010.272.800,7.307.692.307.692.300,13.868.981.912.804.000,0.504074435,0.632846154,,4.956.499.036.851.820,9.504.350.096.314.810,0.95043501,,9.616.529.024.564.300,38.347.097.543.569.700,0.038347098,,9.836.309.244.344.520,16.369.075.565.547.700,0.016369076,,Resultados positivos,1,,,,,1,,,,,Rara vez,Docente,Hombre,Más de 20 años,Más de 20 años,,1,,,,Entre 51 y 60 años,Normalista,Chogorodó,Institución Educativa María Auxiliadora,Sistema de numeración decimal con objetos,Representación  de números con colores de objetos,6edb6b43-3a64-405b-b795-5a8cd9f196d5,WebCollector 2.4,,es
2afdb3b8-1898-11eb-8278-0242ac110003,,46:31.4,05:36.2,05:40.0,7.072.737.428.471.040,8.504.273.504.273.500,7.884.527.528.793.920,0.504058951,0.736470085,,9.196.877.314.877.700,10.683.754.162.910.600,8.011.936.852.221.160,0.854612456,0.092521311,,8.157.994.077.857.360,9.829.066.349.909.850,8.590.992.871.516.470,0.13505526,0.085119715,,10.517.560.338.238.600,10.256.410.256.410.200,7.922.602.940.535.110,0.843542345,0.088820513,,8.633.906.886.319.460,8.119.658.119.658.120,8.324.643.499.402.240,0.873062641,0.070316239,,1.005.157.490.915.350,8.974.358.974.358.970,8.097.406.611.648.740,0.854612456,0.077717949,,9.062.504.123.997.030,9.093.749.587.600.290,0.909374959,,7.460.304.466.453.750,2.539.695.533.546.240,0.253969553,,10.244.936.556.429.400,8.975.506.344.357.050,0.897550634,,Resultados positivos,,,,1,1,,,,,,Frequentemente,Docente,Hombre,De 3 a 5 años,Menos de un año,,1,,,,Entre 21 y 30 años,Especialista,Envigado,Institución Educativa Escuela Normal Superior de Envigado,"Hace algún tiempo recibí a un grupo que era considerado el ""peor"" de todo el colegio. en el aula se presenciaba un un ambiente de irrespeto entre compañeros, docente, problemáticas de consumo de drogas y demás problemática sociales. Sin embargo, en el proceso de análisis del contexto y reconocimiento de cada estudiante, me di cuenta que era un grupo con muchas cosas positivas que resaltar. Ademas saque la conclusión que todo solo les reconocían las cosas no tan positivas, se escuchan comentarios de de mis compañeros, y hasta de los demás grupos sobre que eran el peor grupo. Fue así como con cada estudiante y grupo se aplico una estrategia de reconocimiento hasta de las cosas mas simples, y hablar de los aspectos positivos  de cada estudiante para generar mayor confianza y respeto en el aula. El cambio fue muy positivos ya que se comenzó a notar una afinidad en el ambiente cuando ingresaba a la clase, mayor respeto, escucha  y comportamiento en el aula. De esta experiencia saque una gran conclusión, y es que la comunicación asertiva, el reconocimiento del otro y la capacidad de escucha a los estudiantes, fue fundamental para mejorar el ambiente del aula de clase.",Cambio De Ambiente,6edb6b43-3a64-405b-b795-5a8cd9f196d5,WebCollector 2.4,,es
7b605376-189b-11eb-8278-0242ac110003,,46:58.8,28:49.6,29:23.4,29.817.400.337.464.900,24.786.324.786.324.700,453.962.748.762.103,0.577894373,0.214649573,,5.250.166.564.165.640,2.222.222.222.222.220,2.527.611.213.612.130,0.363872232,0.192444444,,6.497.052.109.944.170,17.948.717.948.717.900,17.080.760.951.840.200,0.260551199,0.155435897,,12.416.668.637.840.200,17.521.367.521.367.500,7.006.196.384.079.220,0.788226476,0.151735043,,1.935.046.874.507.200,13.247.863.247.863.200,6.740.166.800.706.460,0.740255996,0.114726496,,752.450.661.525.846,1.068.376.068.376.060,14.071.173.163.654.700,0.194130535,0.092521368,,20.808.995.327.102.700,9.791.910.046.728.970,0.979191005,,20.808.995.327.102.700,9.791.910.046.728.970,0.979191005,,768.472.546.728.972,23.152.745.327.102.800,0.231527453,,,,,,1,,,,1,,,Rara vez,Docente,Hombre,De 11 a 20 años,De 6 a 10 años,,1,,,,Entre 51 y 60 años,Licenciado,Chogorodó,Institución Educativa María Auxiliadora,"La esperiecia fue que una clese de matemática trabajamos la adiciòn y sustracciòn monte un tuenda, don de dos estudiantes vendian a los otros compañeros en vozalta ,cuanto vendian y cuanto.kes quedaba. Al final entre todos los estudiantes contaron el dinero.Y tan tan bien contaron lo que invirtieron y lo que ganaron.",La tienda,6edb6b43-3a64-405b-b795-5a8cd9f196d5,WebCollector 2.4,,es
ca15b24c-195c-11eb-8278-0242ac110003,,22:00.4,33:02.6,33:08.3,0.451555823,0.854700855,9.869.374.332.264.950,0.991210938,0.007401709,,0.794064621,38.461.538.461.538.400,9.535.978.153.280.540,0.972828585,0.033307692,,995.622.898.598.542,0.427350427,0.010359713,0.002240349,0.003700855,,9.601.465.285.633.480,38.461.538.461.538.400,0.139193298,0.020622702,0.033307692,,41.877.297.794.117.600,0,9.581.227.022.058.820,0.958122702,0,,995.622.898.598.542,0.427350427,0.010359713,0.002240349,0.003700855,,0.108213682,9.989.178.631.756.750,0.998917863,,0.108213682,9.989.178.631.756.750,0.998917863,,9.943.253.800.675.670,0.567461993,0.00567462,,Resultados positivos,,,1,1,,,,,,,Todo el tiempo,Docente,Hombre,De 6 a 10 años,De 6 a 10 años,,1,,,,Entre 31 y 40 años,Profesional no licenciado,,Institución Educativa Distrital del Barrio Simón Bolívar,"Contextual con la familia: en el año 2018 tuve la experiencia con el proyecto No 1 Subproyecto (la familia) el cual, el texto por medio de preguntas le exponia a los estudiantes como era el nucleo familiar, una de mis estudiantes generó adjetivos de tipo coprolalicos u obscenos hacia su familia, de ahí parti de lo importante de contextualizar el estudio, es decir, ¿ Para que es funcional el estudio? ¿ Por que estamos aqui desarrollando actividades con los textos de Aceleración del Aprendizaje?",# educación para el contexto,6edb6b43-3a64-405b-b795-5a8cd9f196d5,WebCollector 2.4,,es
132c74e8-195d-11eb-8278-0242ac110003,,21:31.4,35:05.9,35:10.9,13.062.566.773.504.200,4.914.529.914.529.910,49.548.444.177.350.400,0.741210938,0.425598291,,9.402.244.571.706.880,34.188.034.188.034.100,25.587.508.641.277.000,0.042681526,0.029606838,,4.772.405.456.573.650,50.427.350.427.350.400,1.848.595.006.913.020,0.270622702,0.436700855,,0.759499513,17.094.017.094.017.100,9.753.109.877.765.200,0.983857996,0.014803419,,0.913471358,5.213.675.213.675.210,4.694.977.650.515.330,0.730181526,0.451504274,,49.716.261.705.002.500,0.854700855,4.942.903.744.029.660,0.498563879,0.007401709,,0.614970439,993.850.295.608.108,0.993850296,,5.196.632.179.054.050,4.803.367.820.945.940,0.480336782,,4.993.929.476.351.350,5.006.070.523.648.640,0.500607052,,Resultados positivos,1,,,,,,,1,,,Frequentemente,Docente,Hombre,Más de 20 años,De 3 a 5 años,,1,,,,Entre 61 y 70 años,Licenciado,,,Desarrollo de un Proyecto de grupo,#Proyectodegrupo,6edb6b43-3a64-405b-b795-5a8cd9f196d5,WebCollector 2.4,,es
9e40a658-195d-11eb-8278-0242ac110003,,28:34.2,39:00.5,39:04.3,5.864.490.991.840.780,9.188.033.535.949.180,2.255.173.648.667.350,0.481953413,0.795683704,,5.787.217.727.946.510,876.068.376.068.376,660.594.466.521.588,0.504093635,0.758675214,,8.059.586.605.481.430,8.675.213.675.213.670,51.882.766.423.818.000,0.48564345,0.751273504,,7.282.155.754.249.860,9.273.504.273.504.270,-0.017198489,0.463503229,0.80308547,,9.232.829.107.137.200,4.700.854.700.854.700,8.606.631.619.200.800,0.884167435,0.040709402,,35.337.721.165.673.300,9.358.974.358.974.350,28.764.842.936.890.900,0.496713561,0.810487179,,9.927.472.979.108.860,0.725270209,0.007252702,,20.784.681.088.456.400,9.792.153.189.115.430,0.979215319,,9.179.809.427.706.990,8.201.905.722.930.050,0.082019057,,Resultados positivos,,,1,,,,,,,,Rara vez,Docente,Hombre,De 3 a 5 años,De 3 a 5 años,,1,,,,Entre 21 y 30 años,Normalista,,Institución Educativa Distrital para El Desarrollo Humano María Cano- Luz de Esperanza,En aula de clase de aceleración se realizo una obra de teatro sobre la importancia de los valores dentro del aula cada estudiante tomo un rol y se adentro al tema,#ValoresenelAula,6edb6b43-3a64-405b-b795-5a8cd9f196d5,WebCollector 2.4,,es
320f299a-195e-11eb-8278-0242ac110003,,24:13.3,41:48.6,43:12.2,3.254.968.368.100.190,3.297.872.340.425.530,3.447.159.291.474.270,0.509609546,0.285595745,,4.439.460.135.633.070,0.638284886,9.492.225.497.822.990,0.952413974,0.005527547,,23.241.369.321.262.600,3.978.723.404.255.310,369.713.966.361.842,0.568650137,0.344557447,,2.848.812.204.202.070,9.680.851.063.829.780,0.342677158,0.487469325,0.838361702,,5.759.230.670.088.870,0.212765957,9.402.800.337.246.430,0.941343864,0.001842553,,26.050.508.050.947.700,3.638.297.872.340.420,3.756.651.322.564.790,0.557580026,0.315076596,,9.664.626.250.395.900,33.537.374.960.409.600,0.033537375,,0.024640882,9.997.535.911.766.250,0.999753591,,9.411.247.872.017.520,5.887.521.279.824.740,0.058875213,,Resultados interesantes,,,,,,1,,1,,,Frequentemente,Docente,Mujer,Más de 20 años,De 1 a 2 años,,1,,,,Entre 31 y 40 años,Licenciado,,Institución Educativa Distrital del Barrio Simón Bolívar,"El trabajo artístico que realizan los estudiantes semanalmente, pueden plasmar en sus trabajos sus vivencias, creatividad, innovacion y motivacion por la realización en cada uno de ellos.",Innovaciones artisticas,6edb6b43-3a64-405b-b795-5a8cd9f196d5,WebCollector 2.4,,es
323f5d0e-195e-11eb-8278-0242ac110003,,21:36.6,43:07.7,43:12.6,3.469.929.337.921.060,3.162.393.162.393.160,33.676.774.996.857.700,0.494887408,0.273863248,,34.117.971.106.711.900,3.205.128.205.128.200,3.383.074.684.200.600,0.498563879,0.277564103,,34.271.942.951.860.200,3.247.863.247.863.240,3.324.942.456.950.720,0.494887408,0.281264957,,25.034.663.304.424.300,50.427.350.427.350.400,4.706.918.324.220.710,0.722828585,0.436700855,,0.143612132,50,4.985.638.786.764.700,0.748563879,0.433,,3.433.164.632.038.710,3.162.393.162.393.160,34.044.422.055.681.200,0.498563879,0.273863248,,55.006.862.331.081.000,4.499.313.766.891.890,0.449931377,,5.027.713.260.135.130,4.972.286.739.864.860,0.497228674,,5.568.253.800.675.670,4.431.746.199.324.320,0.44317462,,Resultados positivos,,,1,,,,1,,,,Una vez cada tanto,Docente,Mujer,De 6 a 10 años,De 3 a 5 años,,1,,,,Entre 31 y 40 años,Profesional no licenciado,,Institución Educativa Distrital José Consuegra Higgins,"Una de las experiencias que han sido significativas en el trabajo que he desarrollado con los chicos de aceleración, es el diseño de ambientes significativos de aprendizajes una de ellos fue la organización y presentación de la feria  ""Alimentación saludable y calidad de vida"" cuando trabajamos el subproyecto 3 del proyecto 1 de Aceleración de aprendizaje, en la cual se notó la motivación y participación de los estudiantes al ser ellos los protagonistas del escenario, realizaron diferentes recetas sencillas, mostraron resultados de actividades desarrolladas durante el subproyecto, dando muestra a través de esa actividad que se apropiaron de los contenidos trabajados.",Diseño de ambientes significativos para potenciar el aprendizaje.,6edb6b43-3a64-405b-b795-5a8cd9f196d5,WebCollector 2.4,,es
